,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
1673,fly6,fly7,14757,14778,22,,
2257,fly7,fly6,14764,14786,23,,
1519,fly6,fly2,14775,14807,33,,
1417,fly1,fly8,14797,14822,26,,
1826,fly4,fly3,14798,14874,77,,
2730,fly8,fly1,14813,14844,32,,
1348,fly1,fly11,14841,14880,40,,
1418,fly1,fly8,14847,14888,42,,
2731,fly8,fly1,14877,14896,20,,
1043,fly11,fly10,14881,14898,18,,
2684,fly8,fly11,14885,14913,29,,
2532,fly5,fly4,14889,15127,239,,
2956,fly10,fly11,14894,14907,14,,
1992,fly4,fly5,14900,15127,228,,
3109,fly10,fly8,14904,14919,16,,
1148,fly12,fly11,14920,14939,20,,
2858,fly8,fly10,14929,14947,19,,
1149,fly12,fly11,14951,15083,133,,
1371,fly1,fly6,14976,15071,96,,
2859,fly8,fly10,14981,15107,127,,
3000,fly10,fly1,14987,15058,72,,
1372,fly1,fly6,15076,15115,40,,
2809,fly8,fly7,15081,15098,18,,
250,fly9,fly10,15086,15126,41,,
909,fly11,fly6,15090,15119,30,,
1555,fly6,fly11,15091,15116,26,,
2880,fly10,fly9,15093,15115,23,,
877,fly11,fly1,15111,15831,721,,
1349,fly1,fly11,15116,15774,659,,
1188,fly12,fly6,15121,15142,22,,
1601,fly6,fly12,15121,15142,22,,
2810,fly8,fly7,15128,15142,15,,
1458,fly6,fly9,15164,15198,35,,
2351,fly7,fly8,15164,15186,23,,
2881,fly10,fly9,15164,15187,24,,
251,fly9,fly10,15169,15205,37,,
138,fly9,fly6,15182,15198,17,,
2533,fly5,fly4,15201,15277,77,,
1993,fly4,fly5,15201,15272,72,,
2811,fly8,fly7,15253,15280,28,,
211,fly9,fly5,15349,15408,60,,
2400,fly5,fly9,15349,15393,45,,
1211,fly12,fly4,15388,15402,15,,
1212,fly12,fly4,15406,15436,31,,
2109,fly7,fly3,15409,15432,24,,
1898,fly4,fly12,15441,15537,97,,
212,fly9,fly5,15449,15524,76,,
2401,fly5,fly9,15469,15513,45,,
2882,fly10,fly9,15474,15540,67,,
3094,fly10,fly5,15501,15531,31,,
2609,fly5,fly10,15502,15530,29,,
2589,fly5,fly8,15502,15542,41,,
312,fly3,fly2,15504,15525,22,,
540,fly2,fly3,15505,15518,14,,
3110,fly10,fly8,15508,15523,16,,
2840,fly8,fly5,15517,15533,17,,
509,fly2,fly9,15523,15537,15,,
213,fly9,fly5,15528,15596,69,,
772,fly2,fly10,15536,15551,16,,
235,fly9,fly8,15554,15613,60,,
2924,fly10,fly2,15570,15605,36,,
2590,fly5,fly8,15575,15604,30,,
2841,fly8,fly5,15575,15602,28,,
2626,fly8,fly9,15578,15601,24,,
1234,fly12,fly7,15587,15615,29,,
2925,fly10,fly2,15610,15642,33,,
2293,fly7,fly4,15618,15636,19,,
750,fly2,fly8,15624,15642,19,,
236,fly9,fly8,15651,15672,22,,
51,fly9,fly2,15655,15688,34,,
2515,fly5,fly6,15659,15705,47,,
2642,fly8,fly3,15661,15689,29,,
1711,fly6,fly5,15662,15702,41,,
510,fly2,fly9,15664,15680,17,,
1967,fly4,fly7,15687,15724,38,,
650,fly2,fly6,15697,15714,18,,
1912,fly4,fly1,15709,15801,93,,
2433,fly5,fly2,15717,15739,23,,
936,fly11,fly4,15721,15767,47,,
237,fly9,fly8,15723,15782,60,,
1873,fly4,fly11,15725,15766,42,,
2860,fly8,fly10,15754,15787,34,,
2183,fly7,fly11,15756,15779,24,,
1283,fly12,fly8,15756,15781,26,,
2718,fly8,fly12,15757,15796,40,,
1350,fly1,fly11,15776,15814,39,,
1071,fly12,fly9,15793,15836,44,,
104,fly9,fly12,15794,15888,95,,
2861,fly8,fly10,15797,15831,35,,
937,fly11,fly4,15811,15861,51,,
1351,fly1,fly11,15816,16054,239,,
1874,fly4,fly11,15827,15860,34,,
2862,fly8,fly10,15846,15864,19,,
699,fly2,fly7,15866,15899,34,,
2142,fly7,fly2,15866,15892,27,,
2863,fly8,fly10,15874,15910,37,,
1846,fly4,fly2,15931,15949,19,,
668,fly2,fly4,15932,15965,34,,
1602,fly6,fly12,15950,15972,23,,
1847,fly4,fly2,15955,15968,14,,
2864,fly8,fly10,15970,15990,21,,
2294,fly7,fly4,16002,16038,37,,
1968,fly4,fly7,16002,16048,47,,
2479,fly5,fly12,16016,16087,72,,
1044,fly11,fly10,16045,16065,21,,
839,fly11,fly2,16061,16080,20,,
1257,fly12,fly5,16070,16090,21,,
1045,fly11,fly10,16096,16126,31,,
840,fly11,fly2,16102,16179,78,,
773,fly2,fly10,16104,16127,24,,
2926,fly10,fly2,16118,16134,17,,
2957,fly10,fly11,16146,16159,14,,
1337,fly1,fly2,16147,16207,61,,
2534,fly5,fly4,16149,16177,29,,
841,fly11,fly2,16187,16210,24,,
612,fly2,fly1,16199,16314,116,,
878,fly11,fly1,16202,16227,26,,
2812,fly8,fly7,16204,16230,27,,
3026,fly10,fly6,16251,16321,71,,
1284,fly12,fly8,16264,16279,16,,
2719,fly8,fly12,16269,16282,14,,
2927,fly10,fly2,16269,16314,46,,
972,fly11,fly7,16275,16316,42,,
2184,fly7,fly11,16297,16313,17,,
2643,fly8,fly3,16324,16364,41,,
489,fly3,fly8,16324,16346,23,,
651,fly2,fly6,16334,16352,19,,
214,fly9,fly5,16353,16369,17,,
1439,fly1,fly10,16354,16389,36,,
2258,fly7,fly6,16356,16374,19,,
1520,fly6,fly2,16358,16371,14,,
1674,fly6,fly7,16359,16375,17,,
353,fly3,fly12,16373,16387,15,,
910,fly11,fly6,16377,16403,27,,
3001,fly10,fly1,16383,16410,28,,
2143,fly7,fly2,16388,16403,16,,
1150,fly12,fly11,16395,16413,19,,
1913,fly4,fly1,16398,16448,51,,
1384,fly1,fly4,16399,16444,46,,
1675,fly6,fly7,16401,16432,32,,
2928,fly10,fly2,16426,16439,14,,
329,fly3,fly11,16427,16449,23,,
2044,fly4,fly10,16449,16496,48,,
1603,fly6,fly12,16450,16467,18,,
1848,fly4,fly2,16452,16473,22,,
669,fly2,fly4,16452,16468,17,,
1189,fly12,fly6,16459,16492,34,,
817,fly11,fly3,16462,16499,38,,
1235,fly12,fly7,16465,16518,54,,
3053,fly10,fly4,16467,16495,29,,
2205,fly7,fly12,16470,16485,16,,
2259,fly7,fly6,16475,16491,17,,
1676,fly6,fly7,16491,16521,31,,
2110,fly7,fly3,16500,16543,44,,
613,fly2,fly1,16505,16593,89,,
2685,fly8,fly11,16509,17082,574,,
2929,fly10,fly2,16521,16537,17,,
1022,fly11,fly8,16527,16786,260,,
774,fly2,fly10,16538,16585,48,,
1935,fly4,fly6,16574,16588,15,,
1236,fly12,fly7,16600,16625,26,,
1770,fly6,fly10,16612,16628,17,,
1899,fly4,fly12,16618,16636,19,,
2111,fly7,fly3,16624,16648,25,,
20,fly9,fly3,16640,16666,27,,
277,fly3,fly9,16641,16660,20,,
2295,fly7,fly4,16643,16658,16,,
2972,fly10,fly12,16667,16752,86,,
21,fly9,fly3,16672,16884,213,,
163,fly9,fly4,16676,16707,32,,
1798,fly4,fly9,16677,16706,30,,
1827,fly4,fly3,16680,16703,24,,
3002,fly10,fly1,16695,16878,184,,
2378,fly7,fly10,16701,16744,44,,
278,fly3,fly9,16717,16882,166,,
